Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,botStf FA,botStf SI,botStf FC,botStf FS,botStf SL,botStf CU,botStf CH,botStf KC,Stuff+,Location+,Pitching+,botStf,botCmd,botOvr,NameASCII,PlayerId,MLBAMID
Jacob Misiorowski,MIL,139,131.1078045112782,NA,118.3976,NA,122.86262008733624,133.08672727272727,97.90214285714286,NA,NA,69.7333484661654,NA,80,NA,66.48875445414848,76.74088481818183,59.22783535714286,NA,128.33314676123177,101.64202055094283,130.36866222470803,65.58413524220626,55.828289438848934,64.2978044940048,Jacob Misiorowski,31623,694819
Cristopher Sánchez,PHI,155.2,NA,116.14785228377065,NA,NA,108.80637931034484,NA,123.23819196428572,NA,NA,NA,57.535638464528674,NA,NA,55.61526267241379,NA,56.768083537946424,NA,117.37891736029027,96.98387376331544,114.17502802281247,57.30011325659271,55.16665360820427,58.01745613227291,Cristopher Sanchez,20778,650911
Cam Schlittler,NYY,152,117.6958183538316,109.96151260504202,107.08591869918699,NA,111.72238095238093,108.80038095238096,NA,NA,NA,58.812148540218466,62.08889749460043,65.1126629,NA,55.702456956521736,62.807555441176476,NA,NA,112.53851660368642,103.98394287384505,115.10224193442873,56.28960552323057,54.97862573165436,57.69441105514548,Cameron Schlittler,32095,693645
Dylan Cease,TOR,137.2,113.64783815028902,91.99238578680203,NA,NA,107.11442205323193,NA,109.30691449814128,89.50160000000002,NA,61.5501298034682,48.643038527918776,NA,NA,57.48149166032952,NA,55.263919293680296,48.80336933333334,106.81278380179374,98.34230259866051,105.46926993974712,56.885433696763194,51.783634974446336,54.128598224020436,Dylan Cease,18525,656302
Chris Sale,ATL,129,112.97508771929823,127.32788235294119,NA,NA,128.90043956043957,NA,93.35854077253221,NA,NA,51.71600817543859,76.933414,NA,NA,54.264629401709406,NA,50.11061669527898,NA,118.22966043681528,109.58451683060949,121.80522673469886,54.3827570692974,60.154496549566886,60.46258948026949,Chris Sale,10603,519242
Jesús Luzardo,PHI,150.1,98.10998368678631,109.86063781321184,NA,NA,122.32547239527392,NA,103.31569230769232,NA,NA,55.3185364274062,60.37879047835991,NA,NA,57.71522706766918,NA,57.95272742857143,NA,110.50670894396775,102.79449694467762,111.39856171785982,57.91401950779327,53.39624602132895,57.366606000820354,Jesus Luzardo,19959,666200
Chase Burns,CIN,131,105.87605985037405,NA,NA,NA,124.87255189255191,89.53999999999999,89.39765765765765,NA,NA,65.15183516209476,NA,NA,NA,59.681143186813195,49.81952,54.92084234234235,NA,112.2863410001035,102.075966556313,114.80065783991233,60.641111832239915,52.69033146204312,59.44804751640112,Chase Burns,35333,695505
Paul Skenes,PIT,134.2,94.75607717041801,97.35049999999998,NA,84.92047244094489,119.38786596958175,122.14000000000001,84.56606451612903,NA,NA,48.678123815648455,54.51237041666668,NA,52.19528972440945,55.50769536121672,51.708363000000006,51.21352406451614,NA,98.48201557205543,107.8222087013342,105.64156766806165,52.25979243730752,56.855216546414425,56.091736889573255,Paul Skenes,33677,694973
Drew Rasmussen,TBR,129.1,114.3594845360825,114.92066079295157,101.515,NA,112.67584905660378,84.26769230769231,110.49876543209876,NA,NA,54.31156566371681,54.63583641379311,62.674148671454205,NA,48.14094734693878,45.79099616438355,59.02687581589957,NA,109.02167594590067,106.6642788203801,113.40270514603135,54.147077451797806,55.80218804585721,59.962585440333505,Drew Rasmussen,25385,656876
Yoshinobu Yamamoto,LAD,145.1,105.63758203799652,103.865641025641,94.92529230769233,103.73764298093587,102.87632352941178,101.30133333333333,NA,NA,NA,52.802327772020725,47.64962879120879,53.382016584615386,56.91632017331023,52.83652139705882,54.38981585185186,NA,NA,102.59507233093623,107.1219761747038,110.38373590073789,53.73485069842739,59.06036389454207,58.28045548566141,Yoshinobu Yamamoto,33825,808967
Parker Messick,CLE,142.1,97.50804733727809,89.10365122615804,93.98710144927536,NA,95.82935779816512,99.74717488789238,100.78213333333335,NA,NA,53.30579449704141,35.16316836512262,38.39454862595421,NA,44.114413738317744,50.10384372197309,58.260064000000014,NA,96.81544326333517,105.17220295657546,104.37594831230872,50.08577354619566,53.66346280797102,53.2528815896739,Parker Messick,31986,800048
Reid Detmers,LAA,143,101.90340909090908,100.39034482758623,NA,NA,109.58339165545088,101.17468749999999,101.15734513274337,NA,NA,52.03603712121212,47.312798965517246,NA,NA,51.003043324360704,48.019716914062506,45.83852791855204,NA,104.20104132153939,108.42174597623517,109.3090563781459,50.48118919117647,57.384198923010366,56.031112296712806,Reid Detmers,27468,672282
Ranger Suarez,BOS,108,83.85181585677749,95.62414999999997,91.26884507042251,NA,115.56125,107.12252631578947,92.49688311688313,NA,NA,47.0695736061381,45.61517717499999,38.08660157746478,NA,45.471332580645154,42.6969512631579,41.40419168831168,NA,94.27442159922896,106.8717211895348,101.32143807547554,45.084957148640825,55.47564870445344,52.91741298438404,Ranger Suarez,17277,624133
Tarik Skubal,2 Tms,113.2,117.55834437086094,118.24793201133146,NA,NA,108.71217021276594,116.81653333333333,121.67492273730686,NA,NA,62.43566390728478,56.708635864022654,NA,NA,51.54880689361702,49.784756133333325,64.16720154525387,NA,117.56240164989333,106.04681897568192,121.49838961596005,57.62435863451482,60.05533357931436,61.0933194131319,Tarik Skubal,22267,669373
Zack Wheeler,PHI,115.1,112.44694316436251,109.50568421052633,83.3209,87.72176870748298,102.50725868725868,122.3648407643312,NA,NA,NA,58.530948801843316,58.52886845614034,67.88119699999999,51.63233887755103,63.95935382239382,67.01629751592357,NA,NA,104.38771811858851,106.18153432885542,111.93997246793913,58.02317658179848,55.473297540628394,58.785934756229686,Zack Wheeler,10310,554430
Mason Miller,SDP,51.1,106.71781250000002,122.42,NA,NA,131.46874418604648,NA,109.6157894736842,NA,NA,67.87628111979166,80,NA,NA,65.78810080378251,NA,60.02480111111112,NA,119.63374671691219,102.11594610026269,118.71851718625102,65.63220324940049,49.394595419664256,58.22020238609112,Mason Miller,31757,695243
Sandy Alcantara,MIA,170.2,96.10393574297191,101.65315789473681,102.28320000000001,NA,110.75915503043319,88.64644444444444,96.30477099236643,NA,NA,52.316828413654626,51.139799385964906,60.37603039603962,NA,48.619504711779456,45.553449743589745,56.28982782442746,NA,100.5574556993494,102.74708131382116,102.80512852889593,52.90615945525291,56.48806501167315,57.057700420233466,Sandy Alcantara,18684,645261
Bryan Woo,SEA,138.1,111.57117999999998,105.38967418546366,NA,NA,112.40615322904128,118.63411764705882,84.03068702290078,NA,NA,53.478676740000004,61.593356641604,NA,NA,53.535305216606496,51.33644352941177,55.77211290076336,NA,109.02417158179193,108.31375498612495,113.70493684353492,53.20681640396413,60.411973029730994,59.731471415762144,Bryan Woo,30279,693433
Payton Tolle,BOS,115,123.30239401496259,100.72932614555255,103.77359756097559,NA,NA,126.14714285714285,106.09310344827587,NA,NA,62.19865756857856,55.57882727762802,71.64779859756098,NA,NA,55.81149519480518,63.79564120689656,NA,114.37709897556606,99.189673628131,111.19327116321998,56.49858247518972,58.39934634559253,59.97395926444833,Payton Tolle,35466,801139
Casey Mize,2 Tms,102,98.4892537313433,92.54658536585367,NA,86.8128108108108,76.3018439716312,88.04929577464789,NA,NA,NA,48.89696886194031,32.83368170731708,NA,47.48018240540541,44.2560990070922,55.241940704225364,NA,NA,88.63346040305463,107.43451701908472,98.3647097288659,48.09285393222507,54.92207638746803,50.793126106138104,Casey Mize,20492,663554
Sean Burke,CHW,140,119.25065398335316,88.259012345679,89.02364583333332,NA,88.5682262210797,NA,83.36124999999998,85.95376623376625,NA,57.400180110429446,40.105402567567566,55.668639766081874,NA,49.75307210526314,NA,48.28376195652172,46.04995909930715,99.2859862892414,101.09904016013031,99.56311310116192,50.42654841372913,54.292052592764385,53.50784562152135,Sean Burke,29878,680732
Jacob deGrom,TEX,120.2,107.91567757009345,103.66181818181818,NA,NA,111.18276797829036,105.05292307692307,106.89743190661478,NA,NA,59.029491647196274,58.77804659090908,NA,NA,56.89718390773406,49.87812107692309,62.36701727626458,NA,108.69215407946369,108.25486020297642,117.67373624553751,57.48016681481482,59.2199142962963,61.39803568888889,Jacob deGrom,10954,594798
Shane Baz,BAL,139.1,101.7162210796915,90.44245989304814,96.42460704607045,NA,NA,NA,81.15255102040817,102.82207547169811,NA,52.15456816195373,40.88610198895028,62.263596937669355,NA,NA,NA,43.92681433673471,58.781184865229115,98.47567769127542,102.83784959259792,102.78668249362212,52.45160290294247,54.06027581027668,52.162606912604296,Shane Baz,22264,669358
Shohei Ohtani,LAD,85.2,106.19830564784054,105.29478260869566,91.90222222222222,115.14192982456142,129.9777450980392,108.86421052631577,NA,NA,NA,63.647944568106304,71.59048536231884,62.5253911111111,62.101328157894734,64.04505958333334,47.17221661654135,NA,NA,114.35199077651095,97.7811901978904,111.64115199321907,60.275661617977526,52.255061265917604,58.069460779026215,Shohei Ohtani,19755,660271
Logan Webb,SFG,134,96.30309433962265,110.79326086956526,84.34860215053763,NA,95.70516795865633,NA,97.97391129032258,NA,NA,41.499204377358495,50.21093777173913,52.07625648745519,NA,57.02769467700258,NA,50.37768754032259,NA,98.96228618603143,105.73270513002144,105.82223224834189,52.59045571717173,58.67788557575757,57.28114165151514,Logan Webb,17995,657277
Braxton Ashcraft,PIT,141.1,91.6043438914027,103.86720779220778,NA,87.32775510204083,103.16898550724638,131.47869565217388,NA,NA,NA,51.7721767269985,63.773645649350634,NA,41.07342122448979,50.114356563147,53.38072074275364,NA,NA,106.33650148302638,107.11890216218914,109.76957079849916,51.5205130513308,58.56350207224335,57.54244174429658,Braxton Ashcraft,23793,677952
Kevin Gausman,2 Tms,139,97.41252305113157,NA,NA,101.09728776185221,89.75563318777294,NA,NA,NA,NA,49.220745314333605,NA,NA,54.662456912899685,45.77184310043669,NA,NA,NA,98.08870746630741,107.79908562078612,105.44176728939308,51.57429781021899,59.71713120223272,59.4814028166595,Kevin Gausman,14107,592332
Logan Gilbert,SEA,145.1,101.55011312217192,102.92999999999999,91.88112676056336,142.832523364486,109.51152137798417,95.45333333333333,106.38152046783624,NA,NA,52.69512859728506,67.2776475,55.05304570422536,73.3302969470405,52.68183063360882,67.54575333333334,67.15712408536585,NA,109.56577409237677,103.93011702089156,111.88781531674026,57.406237589720874,57.537585361098806,59.54564747895436,Logan Gilbert,22250,669302
Cade Cavalli,WSN,136.2,95.49978695073236,96.54623376623378,95.37177419354839,NA,114.7687542087542,NA,92.82045454545454,111.07667774086381,NA,52.33948760319575,57.669371525974015,50.9962449484536,NA,53.73466016835017,NA,62.36334198863638,49.85179661129568,102.06235406472125,97.53243966882441,98.13880301718255,52.17497973032715,50.96292970380195,51.424812409372244,Cade Cavalli,27473,676917
