mlbam_id,full_name,height_str,height_in,pos_code
676254,Ryan Walker,"6' 2""",74,1
592836,Taijuan Walker,"6' 4""",76,1
670242,Matt Wallner,"6' 4""",76,9
670764,Taylor Walls,"5' 9""",69,6
686796,Blake Walston,"6' 5""",77,1
622268,Donovan Walton,"5' 9""",69,4
681806,Andrew Wantz,"6' 4""",76,1
621493,Taylor Ward,"6' 0""",72,10
669899,Ryan Ward,"5' 10""",70,7
681810,Austin Warren,"6' 0""",72,1
701542,Will Warren,"6' 2""",74,1
696135,Kahlil Watson,"5' 9""",69,9
670245,Ryan Watson,"6' 5""",77,1
694360,Beck Way,"6' 4""",76,1
677960,Ryan Weathers,"6' 1""",73,1
596133,Luke Weaver,"6' 2""",74,1
657097,Jacob Webb,"6' 2""",74,1
657277,Logan Webb,"6' 2""",74,1
676620,Blake Weiman,"6' 3""",75,1
674073,Jack Weisenburger,"6' 3""",75,1
680802,Ryan Weiss,"6' 4""",76,1
669711,Greg Weissert,"6' 2""",74,1
669224,Austin Wells,"6' 1""",73,2
669330,Tyler Wells,"6' 8""",80,1
673995,Davis Wendzel,"5' 11""",71,5
669713,Hayden Wesneski,"6' 3""",75,1
687721,Cameron Weston,"6' 2""",74,1
802139,JJ Wetherholt,"5' 9""",69,4
554430,Zack Wheeler,"6' 4""",76,1
687931,Carson Whisenhunt,"6' 3""",75,1
694376,Shay Whitcomb,"6' 0""",72,5
642201,Eli White,"6' 2""",74,8
687985,Josh White,"6' 1""",73,1
695720,Tommy White,"6' 0""",72,5
676477,Garrett Whitlock,"6' 5""",77,1
696136,Jordan Wicks,"6' 3""",75,1
686894,Joey Wiemer,"6' 4""",76,9
677961,Cole Wilcox,"6' 5""",77,1
683363,Matt Wilkinson,"6' 1""",73,1
675961,Alika Williams,"6' 1""",73,6
700246,Carson Williams,"6' 1""",73,6
642207,Devin Williams,"6' 2""",74,1
668909,Gavin Williams,"6' 6""",78,1
663897,Luke Williams,"6' 1""",73,6
592866,Trevor Williams,"6' 3""",75,1
810938,Ben Williamson,"6' 0""",72,4
682227,Brandon Williamson,"6' 6""",78,1
669060,Bryse Wilson,"6' 2""",74,1
805779,Jacob Wilson,"6' 2""",74,6
642215,Weston Wilson,"6' 3""",75,5
669717,Will Wilson,"5' 9""",69,5
668390,Cole Winn,"6' 2""",74,1
676775,Keaton Winn,"6' 4""",76,1
691026,Masyn Winn,"5' 9""",69,6
685464,Cade Winquest,"6' 1""",73,1
621550,Patrick Wisdom,"6' 2""",74,5
677951,Bobby Witt Jr.,"6' 1""",73,6
664991,Grant Wolfram,"6' 7""",79,1
657136,Connor Wong,"5' 10""",70,2
693433,Bryan Woo,"6' 2""",74,1
695578,James Wood,"6' 6""",78,9
663765,Jake Woodford,"6' 4""",76,1
605540,Brandon Woodruff,"6' 4""",76,1
680573,Simeon Woods Richardson,"6' 3""",75,1
669398,Gage Workman,"6' 4""",76,5
680736,Justin Wrobleski,"6' 1""",73,1
642851,Austin Wynns,"6' 1""",73,2
808967,Yoshinobu Yamamoto,"5' 10""",70,1
642376,Jefry Yan,"6' 3""",75,1
642232,Ryan Yarbrough,"6' 5""",77,1
